Price,Brand_name,5G,RAM,ROM,Front_camera,Processor_name,Back_camera_sum
7380,REDMI,0,3,32,0,Others,13
14499,vivo,0,4,128,16,Snapdragon,54
9949,Others,0,4,64,8,Mediatek,17
15999,vivo,1,4,128,16,Mediatek,52
14999,REDMI,0,6,128,0,Others,108
17999,POCO,0,8,128,16,Mediatek,74
27999,REDMI,1,8,256,16,Mediatek,210
34990,vivo,1,8,128,50,Mediatek,60
28249,realme,1,12,1000,0,Others,100
9999,Infinix,0,6,64,8,Others,50
8999,REDMI,0,4,64,5,Mediatek,13
8698,REDMI,0,4,64,0,Others,13
177990,Apple,0,4,1000,12,Bionic,72
8285,REDMI,0,4,64,0,Others,13
36999,vivo,1,8,256,50,Mediatek,60
154999,Samsung,0,12,256,0,Snapdragon,72
22365,realme,1,8,128,0,Others,100
14999,REDMI,0,6,128,16,Others,108
35979,vivo,1,8,128,50,Mediatek,60
15999,vivo,0,6,128,16,Snapdragon,54
30890,Others,0,12,256,1616,Mediatek,68
10499,OPPO,0,4,128,5,Mediatek,10
50990,vivo,0,8,256,32,Mediatek,74
33999,POCO,1,12,256,16,Snapdragon,74
14200,REDMI,0,6,128,0,Others,108
10999,Motorola,0,4,64,16,Mediatek,62
10999,POCO,1,4,64,8,Snapdragon,52
9990,vivo,0,3,32,5,Mediatek,15
8840,vivo,0,3,32,0,Others,8
7999,Others,0,2,32,8,Snapdragon,12
